Company Name,Street Address,City,State,PostCode,Telephone Number
BluePeak Consulting,101 Harbour St,Sydney,NSW,2000,(02) 8000 1234
SolarFlare Energy,202 Solar Rd,Brisbane,QLD,4000,(07) 7000 5678
QuantumLeap Technologies,303 Tech Ave,Melbourne,VIC,3000,(03) 9000 7890
EcoSolutions,404 Green Ln,Adelaide,SA,5000,(08) 8000 3456
BrightFutures Education,505 Learning Pl,Canberra,ACT,2601,(02) 6000 6789
NewHorizon Investments,606 Finance St,Perth,WA,6000,(08) 9000 2345
FreshStart Wellness,707 Health Rd,Hobart,TAS,7000,(03) 7000 1234
InfinityGames,808 Play St,Darwin,NT,800,(08) 8000 4567
UrbanVista Real Estate,909 Property Ave,Sydney,NSW,2000,(02) 8001 2345
OceanBreeze Travel,1010 Journey Ln,Brisbane,QLD,4001,(07) 7001 5678
Skyline Tech,15 Sky St,Melbourne,VIC,3000,(03) 5001 2345
Aqua Marine Adventures,48 Ocean Rd,Sydney,NSW,2000,(02) 6002 3456
GreenLeaf Organics,82 Garden Ave,Brisbane,QLD,4000,(07) 7003 4567
UrbanEats Catering,29 Gourmet Ln,Adelaide,SA,5000,(08) 8004 5678
Harmony Wellness Spa,67 Relax St,Perth,WA,6000,(08) 9005 6789
Infinite Design Studio,11 Art Rd,Hobart,TAS,7000,(03) 7006 7890
RapidRide Transport,33 Speed Blvd,Darwin,NT,800,(08) 8007 8901
Solar Solutions,27 Sun St,Canberra,ACT,2601,(02) 6008 9012
FreshFarm Produce,92 Harvest Ln,Adelaide,SA,5000,(08) 8009 0123
Digital Dreamworks,55 Pixel Ave,Melbourne,VIC,3000,(03) 5010 1234
Bright Beacon Media,101 Light St,Brisbane,QLD,4001,(07) 7101 2345
Emerald Estate Realty,202 Gemstone Rd,Perth,WA,6001,(08) 9102 3456
Cascade Coffee Co.,303 Java Ln,Melbourne,VIC,3001,(03) 3103 4567
Velocity Ventures,404 Speed Blvd,Sydney,NSW,2001,(02) 2104 5678
Azure Adventures,505 Explore St,Adelaide,SA,5001,(08) 8105 6789
RubyTech Solutions,606 Innovate Ave,Canberra,ACT,2602,(02) 2606 7890
Pinnacle Property Management,707 Summit Pl,Hobart,TAS,7001,(03) 7107 8901
Oceanic Outfitters,808 Marine Rd,Darwin,NT,0801,(08) 8108 9012
Alpine Apparel,909 Mountain View Blvd,Perth,WA,6002,(08) 9109 0123
Cosmic Café,1010 Starry Ln,Melbourne,VIC,3002,(03) 3100 1234
